Date,Close,High,Low,Open,Volume
11/13/2023,223.7100067,225.3999939,211.6100006,215.6000061,140447600
11/14/2023,237.4100037,238.1399994,230.7200012,235.0299988,149771600
11/15/2023,242.8399963,246.6999969,236.4499969,239.2899933,150354000
11/16/2023,233.5899963,240.8800049,230.9600067,239.4900055,136816800
11/17/2023,234.3000031,237.3899994,226.5399933,232,142532800
11/20/2023,235.6000061,237.1000061,231.0200043,234.0399933,116320100
11/21/2023,241.1999969,243.6199951,233.3399963,235.0399933,122288000
11/22/2023,234.2100067,244.0099945,231.3999939,242.0399933,117950600
11/24/2023,235.4499969,238.75,232.3300018,233.75,65125200
11/27/2023,236.0800018,238.3300018,232.1000061,236.8899994,112031800
11/28/2023,246.7200012,247,234.0099945,236.6799927,148549900
11/29/2023,244.1399994,252.75,242.7599945,249.2100067,135401300
11/30/2023,240.0800018,245.2200012,236.9100037,245.1399994,132353200
12/1/2023,238.8300018,240.1900024,231.8999939,233.1399994,121173500
12/4/2023,235.5800018,239.3699951,233.2899933,235.75,104099800
12/5/2023,238.7200012,246.6600037,233.6999969,233.8699951,137971100
12/6/2023,239.3699951,246.5700073,239.1699982,242.9199982,126436200
12/7/2023,242.6399994,244.0800018,236.9799957,241.5500031,107142300
12/8/2023,243.8399963,245.2700043,239.2700043,240.2700043,102980100
12/11/2023,239.7400055,243.4400024,237.4499969,242.7400055,97913900
12/12/2023,237.0099945,238.9900055,233.8699951,238.5500031,95328300
12/13/2023,239.2899933,240.3000031,228.1999969,234.1900024,146286300
12/14/2023,251.0500031,253.8800049,240.7899933,241.2200012,160829200
12/15/2023,253.5,254.1300049,248.3000031,251.2100067,135720800
12/18/2023,252.0800018,258.7399902,251.3600006,253.7799988,116416500
12/19/2023,257.2200012,258.3399963,253.0099945,253.4799957,106737400
12/20/2023,247.1399994,259.8399963,247,256.4100037,125097000
12/21/2023,254.5,254.8000031,248.5500031,251.8999939,109594200
12/22/2023,252.5399933,258.2200012,251.3699951,256.7600098,93249800
12/26/2023,256.6099854,257.9700012,252.9100037,254.4900055,86892400
12/27/2023,261.4400024,263.3399963,257.519989,258.3500061,106494400
12/28/2023,253.1799927,265.1300049,252.7100067,263.6600037,113619900
12/29/2023,248.4799957,255.1900024,247.4299927,255.1000061,100615300
